model,variant,n_ep,plausibility_mean,plausibility_se,specificity_mean,specificity_se,goal_progress_mean,goal_progress_se,vlm_confidence_mean,vlm_confidence_se,teleport_collapse_rate,teleport_n_with_pos,teleport_n_collapsed
Claude Opus 4.7,narrative,4,0.7875000000000001,0.042695628191498344,0.4,0.040824829046386304,0.675,0.0629152869605896,0.8175,0.011814539065631504,,0,0
Claude Opus 4.7,action,4,0.5499999999999999,0.08660254037844385,0.65,0.05000000000000002,0.525,0.16007810593582122,0.42500000000000004,0.024999999999999994,,0,0
Claude Opus 4.7,achieved_goal,4,0.4625,0.17721808598447283,0.4875,0.12970318680227816,0.975,0.014433756729740658,0.675,0.024999999999999994,1.0,4,4
Claude Opus 4.7,all,2,0.7,0.1,0.825,0.024999999999999963,0.625,0.125,0.7,0.1,1.0,2,2
GPT-4o,narrative,6,0.7000000000000001,0.057735026918962595,0.26666666666666666,0.04216370213557839,0.4000000000000001,0.0632455532033676,0.85,0.0,,0,0
GPT-4o,action,6,0.7416666666666667,0.03745367509040707,0.5,0.02581988897471611,0.4166666666666667,0.08724168218868268,0.8666666666666667,0.021081851067789193,,0,0
GPT-4o,achieved_goal,6,0.7916666666666669,0.05974482776311641,0.5,0.05163977794943222,0.8333333333333334,0.10697871023920809,0.9,0.0,0.0,6,0
GPT-4o,all,6,0.6666666666666666,0.04409585518440985,0.48333333333333334,0.04772607021092117,0.6750000000000002,0.1314977819838292,0.8916666666666666,0.008333333333333342,0.6666666666666666,6,4
